Title|User Score|Director|Screenplay|Top Billed Cast|Release Date|Content Rating|Genres|Keywords|Revenue|Original Language|Runtime|Budget|Homepage
Déjà Vu|66.0|Tony Scott|Bill Marsilii,Terry Rossio|Denzel Washington,Paula Patton,Val Kilmer,Jim Caviezel,Adam Goldberg|2006|100|Action,Thriller,Science Fiction|deja vu,new orleans,time travel,investigator,fbi agent,terrorismo,viajes en el tiempo|$180,557,550.00|English|2h 6m|$75,000,000.00|-
Stick It|64.0|Jessica Bendinger||Jeff Bridges,Missy Peregrym,Vanessa Lengies,Maddy Curley,Nikki SooHoo|2006|100|Comedy,Drama|gymnastics,trainer,puberty,training,sport,teenager,woman director|-|English|1h 45m|-|-
Robin Hood|62.0|Ridley Scott|Brian Helgeland|Russell Crowe,Cate Blanchett,Max von Sydow,William Hurt,Mark Strong|2010|100|Action,Adventure|robin hood,archer,knight,sherwood forest,bow and arrow,middle ages,medieval,king of england|$310,669,540.00|English|2h 20m|$200,000,000.00|http://www.robinhoodthemovie.com/
World's Greatest Dad|66.0|Bobcat Goldthwait|Bobcat Goldthwait|Robin Williams,Alexie Gilmore,Daryl Sabara,Geoff Pierson,Henry Simmons|2009|100|Comedy,Romance|poetry,adolescence,lie,rejection,high school,independent film,teacher,vulgarity,student|$295,750.00|English|1h 39m|$10,000,000.00|http://www.worldsgreatestdadfilm.com/
Insidious: Chapter 2|66.0|James Wan|Leigh Whannell|Patrick Wilson,Rose Byrne,Ty Simpkins,Lin Shaye,Barbara Hershey|2013|100|Horror,Thriller|haunted house,possession,demon,family,ghost,bride in black|-|English|1h 46m|$5,000,000.00|http://www.insidiousch2.com/
Jingle All the Way|55.0|Brian Levant|Randy Kornfield|Arnold Schwarzenegger,Phil Hartman,Sinbad,Rita Wilson,Jake Lloyd|1996|100|Family,Comedy|holiday,christmas party,santa claus,toy,puppet,christmas,turboman|$129,832,389.00|English|1h 29m|$60,000,000.00|-
Silent Hill|63.0|Christophe Gans||Radha Mitchell,Sean Bean,Laurie Holden,Deborah Kara Unger,Kim Coates|2006|100|Horror,Mystery|monster,mother role,burning of witches,fog,suffering,darkness,sadism,supernatural,revenge,surrealism,gore,survival,good vs evil,blood,another dimension,torture,creature,violence,demon,witch burning,based on video game,dismemberment,religious fanatic,ghost town,sleepwalking,silent hill|$97,607,453.00|English|2h 5m|$50,000,000.00|http://www.sonypictures.com/homevideo/silenthill/
Dead Man Down|59.0|Niels Arden Oplev|J.H. Wyman|Colin Farrell,Noomi Rapace,Terrence Howard,Dominic Cooper,Isabelle Huppert|2013|100|Thriller,Action,Crime,Drama|revenge,new york city,mysterious woman,crime lord|$18,074,539.00|English|1h 58m|-|-
A Girl Walks Home Alone at Night|69.0|Ana Lily Amirpour||Sheila Vand,Arash Marandi,Marshall Manesh,Dominic Rains,Rome Shadanloo|2014|100|Horror,Romance|vampire,loneliness,prostitution,crime,city,drug,female vampire,iranian,woman director|$395,000.00|English|1h 39m|$1,000,000.00|http://films.vice.com/a-girl-walks-home/
Barely Lethal|55.0|Kyle Newman||Hailee Steinfeld,Sophie Turner,Jessica Alba,Samuel L. Jackson,Dove Cameron|2015|100|Action,Adventure,Comedy|assassin,high school,teenager,agent|$6,075.00|English|1h 36m|-|-
How the Grinch Stole Christmas|63.0|Ron Howard|Peter S. Seaman,Jeffrey Price|Jim Carrey,Taylor Momsen,Jeffrey Tambor,Christine Baranski,Bill Irwin|2000|100|Family,Comedy,Fantasy|holiday,christmas party,new love,santa claus,village,kids and family|$345,141,403.00|English|1h 44m|$123,000,000.00|http://www.grinched.com/
Central Intelligence|62.0|Rawson Marshall Thurber|David Stassen,Ike Barinholtz,Rawson Marshall Thurber|Dwayne Johnson,Kevin Hart,Amy Ryan,Aaron Paul,Danielle Nicolet|2016|100|Action,Comedy|spy,cia,office,school,espionage,high school reunion,reference to facebook,accountant|$216,972,543.00|English|1h 47m|$50,000,000.00|http://www.centralintelligencemovie.com/
Gladiator|80.0|Ridley Scott|William Nicholson,John Logan,David Franzoni|Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Richard Harris|2000|100|Action,Drama,Adventure|rome,parent child relationship,gladiator,arena,senate,roman empire,emperor,slavery,battlefield,ancient world,combat,chariot,philosopher,fictionalized history,barbarian horde,2nd century,successor|$457,640,427.00|English|2h 35m|$103,000,000.00|-
One for the Money|54.0|Julie Anne Robinson|Karen Ray,Stacy Sherman,Liz Brixius|Katherine Heigl,Jason O'Mara,Daniel Sunjata,John Leguizamo,Sherri Shepherd|2012|100|Action,Comedy,Crime|bounty hunter,based on novel,romance,framed,bail jumper,woman director|$36,893,721.00|English|1h 31m|$40,000,000.00|http://www.oneforthemoneyfilm.com/index2.html
Wonder Woman|72.0|Patty Jenkins|Allan Heinberg|Gal Gadot,Chris Pine,Connie Nielsen,Robin Wright,Danny Huston|2017|100|Action,Adventure|dc comics,hero,greek mythology,island,feminism,empowerment,world war i,strong woman,superhero,based on comic,beautiful woman,superheroine,female protagonist,woman power,period drama,super power,heroine,woman director,female empowerment,1910s,dc extended universe|$821,847,012.00|English|2h 21m|$149,000,000.00|http://www.warnerbros.com/wonder-woman
Talladega Nights: The Ballad of Ricky Bobby|62.0|Adam McKay||Will Ferrell,John C. Reilly,Sacha Baron Cohen,Gary Cole,Michael Clarke Duncan|2006|100|Comedy|north carolina,prayer,family dinner,motorcycle,advertising,divorce,automobile racing,nascar,dog trainer,car movie,sport competition,psychosomatic illness,french stereotype,aftercreditsstinger,duringcreditsstinger|$162,966,177.00|English|1h 56m|$72,500,000.00|http://www.sonypictures.com/homevideo/talladeganights/
The Nutty Professor|54.0|Tom Shadyac|Tom Shadyac,Barry W. Blaustein,David Sheffield,Steve Oedekerk|Eddie Murphy,Jada Pinkett Smith,James Coburn,Larry Miller,Dave Chappelle|1996|100|Fantasy,Comedy,Romance,Science Fiction|overweight,overweight man,duringcreditsstinger|$128,769,345.00|English|1h 35m|$54,000,000.00|-
Without a Paddle|53.0|Steven Brill|Mitch Rouse,Jay Leggett|Seth Green,Matthew Lillard,Dax Shepard,Antony Starr,Andrew Hampton|2004|100|Action,Adventure,Comedy,Thriller|loss of loved one,treasure hunt|$69,631,118.00|English|1h 35m|$19,000,000.00|-
Ghost in the Shell|78.0|Mamoru Oshii|Kazunori Ito|Atsuko Tanaka,Akio Ohtsuka,Iemasa Kayumi,Kouichi Yamadera,Yutaka Nakano|1995|100|Action,Animation,Science Fiction|artificial intelligence,man vs machine,cyborg,android,computer virus,dystopia,implantat,fugitive,female protagonist,cyberpunk,based on manga|$2,287,714.00|Japanese|1h 23m|-|-
Haywire|56.0|Steven Soderbergh||Gina Carano,Ewan McGregor,Michael Fassbender,Bill Paxton,Channing Tatum|2011|100|Action,Thriller|mercenary,secret agent,rescue,foot chase,spanish|$33,372,606.00|English|1h 33m|$23,000,000.00|http://www.haywiremovie.com/
Sicario|72.0|Denis Villeneuve||Emily Blunt,Benicio del Toro,Josh Brolin,Victor Garber,Jon Bernthal|2015|100|Action,Crime,Drama,Mystery,Thriller|mexico,cia,smoking,texas,fbi,murder,dirty cop,soccer,drug,fbi agent,night vision,death of daughter,tunnel,el paso,moral dilemma,death of wife,mexican cartel|$84,025,816.00|English|2h 1m|$30,000,000.00|-
xXx: State of the Union|47.0|Lee Tamahori|Simon Kinberg|Ice Cube,Samuel L. Jackson,Willem Dafoe,Scott Speedman,Peter Strauss|2005|100|Action,Adventure,Crime,Drama,Mystery,Thriller|washington d.c.,helicopter,usa president,general,coup d'etat,military prison,coup,agent,insurgent,secretary of defense,potus|$71,073,932.00|English|1h 41m|$60,000,000.00|http://www.sonypictures.com/movies/xxxstateoftheunion/
Fallen|66.0|Gregory Hoblit|Nicholas Kazan|Denzel Washington,John Goodman,Donald Sutherland,Embeth Davidtz,James Gandolfini|1998|100|Crime,Drama,Action,Thriller|angel,riddle,detective,bible,police,supernatural,psychopath,murder,curse,religion,execution,series of murders,devil,family,evil,neo-noir|$25,232,289.00|English|2h 4m|-|-
Serenity|74.0|Joss Whedon||Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin,Adam Baldwin|2005|100|Science Fiction,Action,Adventure,Thriller|martial arts,telepathy,dystopia,spaceship,fugitive,based on tv series,planet,throat slitting,cannibal,reavers,operative,ex soldier,firefly|$38,869,464.00|English|1h 59m|$39,000,000.00|-
A Million Ways to Die in the West|58.0|Seth MacFarlane||Seth MacFarlane,Charlize Theron,Liam Neeson,Amanda Seyfried,Neil Patrick Harris|2014|100|Comedy,Western|gunslinger,farmer,wild west,laxative|-|English|1h 56m|-|-
GoldenEye|67.0|Martin Campbell|Bruce Feirstein,Jeffrey Caine|Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,Joe Don Baker|1995|100|Adventure,Action,Thriller|cuba,falsely accused,secret identity,computer virus,secret base,secret intelligence service,kgb,satellite,special car,cossack,electromagnetic pulse,time bomb,st. petersburg russia,ejection seat,red army|$352,194,034.00|English|2h 10m|$58,000,000.00|http://www.mgm.com/view/movie/757/Goldeneye/
The Raven|62.0|James McTeigue|Hannah Shakespeare,Ben Livingston|John Cusack,Luke Evans,Alice Eve,Brendan Gleeson,Kevin McNally|2012|100|Crime,Thriller,Mystery|poison,blackmail,masked ball,historical figure,buried alive,serial killer,deadline,edgar allan poe,newspaper review,baltimore maryland,newspaper office,hard times,life imitates art,pendulum|$29,657,751.00|English|1h 51m|$26,000,000.00|-
Solaris|59.0|Steven Soderbergh|Steven Soderbergh|George Clooney,Natascha McElhone,Viola Davis,Jeremy Davies,Ulrich Tukur|2002|100|Drama,Science Fiction,Mystery,Romance|clone,loss of loved one,loss of sense of reality,hallucination,space travel,grief,space,psychologist,outer space,astronaut,space station,unusual phenomena|$30,002,758.00|English|1h 39m|$47,000,000.00|-
Homefront|64.0|Gary Fleder|Sylvester Stallone|Jason Statham,James Franco,Izabela Vidovic,Winona Ryder,Rachelle Lefevre|2013|100|Action,Thriller|based on novel,parent child relationship,drug dealer,ex-cop,rural setting,undercover cop,methamphetamine,motorcycle gang,drug,revenge motive,lousiana bayou|$43,058,898.00|English|1h 40m|$22,000,000.00|-
The Darkest Hour|48.0|Chris Gorak|M.T. Ahern|Emile Hirsch,Rachael Taylor,Olivia Thirlby,Joel Kinnaman,Max Minghella|2011|100|Horror,Action,Thriller,Science Fiction|alien invasion,american abroad,moscow,unlikely heroes,failed business|$64,626,786.00|English|1h 29m|$30,000,000.00|http://www.darkesthourmovie.com/
Creep|61.0|Patrick Brice||Mark Duplass,Patrick Brice,Katie Aselton|2014|71|Horror,Thriller|mountain,bath,ax,cabin,psychopath,stalker,murder,axe murder,found footage,wolf costume,video tape|-|English|1h 22m|-|-
The Visit|61.0|M. Night Shyamalan||Olivia DeJonge,Ed Oxenbould,Kathryn Hahn,Benjamin Kanes,Deanna Dunagan|2015|100|Horror,Thriller|sibling relationship,rap music,pennsylvania,farm,grandparents,murder,children,independent film,farmhouse,single mother,violence,oven,found footage,hide and seek,diaper|$98,450,062.00|English|1h 34m|$5,000,000.00|http://www.stayinyourroom.com/
Baby Driver|74.0|Edgar Wright||Ansel Elgort,Lily James,Kevin Spacey,Jon Hamm,Jamie Foxx|2017|100|Action,Crime|robbery,atlanta,music,crime boss,romance,tinnitus,car chase,car,getaway driver|$226,945,087.00|English|1h 53m|$34,000,000.00|http://www.babydriver-movie.com
Elizabeth|71.0|Shekhar Kapur|Michael Hirst|Cate Blanchett,Geoffrey Rush,Christopher Eccleston,Joseph Fiennes,John Gielgud|1998|100|Drama,History|duke,historical figure,treason,catholic,protestant|$82,150,642.00|English|2h 4m|$30,000,000.00|-
Battle of the Sexes|70.0|Valerie Faris,Jonathan Dayton||Emma Stone,Steve Carell,Andrea Riseborough,Sarah Silverman,Bill Pullman|2017|100|Comedy,Drama,History|1970s,tennis,biography,sport,tennis match,exhibition match|$12,561,251.00|English|2h 1m|$25,000,000.00|http://www.battleofthesexesmovie.co.uk/
Finding Nemo|77.0|Andrew Stanton|Andrew Stanton,David Reynolds,Bob Peterson|Albert Brooks,Ellen DeGeneres,Alexander Gould,Willem Dafoe,Brad Garrett|2003|100|Animation,Family|parent child relationship,harbor,anthropomorphism,underwater,fish tank,great barrier reef,missing child,aftercreditsstinger,duringcreditsstinger,short term memory loss,clownfish,father son reunion,protective father|$940,335,536.00|English|1h 40m|$94,000,000.00|http://movies.disney.com/finding-nemo
Mighty Aphrodite|67.0|Woody Allen|Woody Allen|Woody Allen,Mira Sorvino,Helena Bonham Carter,F. Murray Abraham,Donald Symington|1995|100|Comedy,Romance|prostitute,adoption,adoptive father,childlessness,looking for  birth parents,adoptive mother,independent film,illegal prostitution,child|$6,700,000.00|English|1h 35m|$15,000,000.00|-
The Hunger Games: Mockingjay - Part 1|67.0|Francis Lawrence|Peter Craig,Danny Strong|Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson,Donald Sutherland|2014|100|Science Fiction,Adventure,Thriller|resistance,post-apocalyptic,dystopia,war,sequel,female protagonist,bow and arrow,game,future war,revolt,class prejudice,human subjugation,based on young adult novel|$752,100,229.00|English|2h 3m|$125,000,000.00|http://www.thehungergames.movie/
6 Years|55.0|Hannah Fidell|Hannah Fidell|Taissa Farmiga,Ben Rosenfield,Lindsay Burdge,Joshua Leonard,Jennifer Lafleur|2015|100|Romance,Drama|relationship problems,relationship,violence,woman director,young adult,complicated relationships|-|English|1h 24m|-|-
Couples Retreat|53.0|Peter Billingsley|Dana Fox,Jon Favreau,Vince Vaughn|Vince Vaughn,Malin Åkerman,Jason Bateman,Kristen Bell,Jon Favreau|2009|100|Comedy,Romance|island,married couple,yoga,tahiti,couples therapy,love,beautiful woman,tropical,aftercreditsstinger,duringcreditsstinger,french polynesia,polynésie française|$171,844,840.00|English|1h 53m|$70,000,000.00|http://www.couplesretreatmovie.com/
Teenage Mutant Ninja Turtles|65.0|Steve Barron|Bobby Herbeck,Todd W. Langen|Judith Hoag,Elias Koteas,Josh Pais,Brian Tochi,Leif Tilden|1990|100|Science Fiction,Action,Adventure,Comedy,Family|skateboarding,martial arts,mutant,pizza delivery,ninja,new york city|$202,000,000.00|English|1h 33m|$13,500,000.00|-
Circle|61.0|Mario Miscione,Aaron Hann||Julie Benz,Carter Jenkins,Cesar Garcia,Mercy Malick,Lisa Pelikan|2015|100|Horror,Science Fiction|survival,execution,stranger,no memory|-|English|1h 27m|-|-
The Forbidden Kingdom|63.0|Rob Minkoff||Jackie Chan,Jet Li,Michael Angarano,Liu Yifei,Li Bingbing|2008|100|Action,Adventure,Fantasy|tempel,shaolin,teenager,urination,staff,warrior,monkey king|$127,906,624.00|English|1h 44m|$55,000,000.00|http://www.forbiddenkingdommovie.com/
Hard Rain|55.0|Mikael Salomon|Graham Yost|Morgan Freeman,Christian Slater,Randy Quaid,Minnie Driver,Ed Asner|1998|100|Thriller|sheriff,rain,evacuation,armored car,crook,hoodlum|$19,870,567.00|English|1h 37m|$70,000,000.00|-
Hackers|62.0|Iain Softley||Jonny Lee Miller,Angelina Jolie,Jesse Bradford,Matthew Lillard,Renoly Santiago|1995|100|Action,Crime,Thriller,Drama|hacker,computer virus,virtual reality,computer,prank,internet,cyberpunk,teenager,new york city,secret service,computer hacker,dream sequence|$7,563,728.00|English|1h 47m|$20,000,000.00|-
Disconnect|70.0|Henry Alex Rubin|Andrew Stern|Jason Bateman,Hope Davis,Frank Grillo,Paula Patton,Michael Nyqvist|2012|100|Drama,Thriller|technology,relationship problems,independent film,internet,cell phone,gesellschaft,historias cruzadas,cine independiente|$3,428,048.00|English|1h 55m|$10,000,000.00|http://www.disconnectthemovie.com/
Descendants 2|74.0|Kenny Ortega||Dove Cameron,Sofia Carson,Cameron Boyce,Booboo Stewart,Mitchell Hope|2017|100|TV Movie,Family,Action,Comedy,Music,Adventure|fairy tale,villain,musical,teen movie,teenager|-|English|1h 51m|-|-
Ruby & Quentin|67.0|Francis Veber|Francis Veber|Gérard Depardieu,Jean Reno,Richard Berry,Leonor Varela,Loïc Brabant|2003|100|Comedy,Crime|prison,jealousy,escape,henchman,jockey,mob boss|-|French|1h 25m|$27,440,000.00|-
The Collector|63.0|Marcus Dunstan||Josh Stewart,Michael Reilly Burke,Andrea Roth,Juan Fernández,Madeline Zima|2009|100|Horror,Thriller|burglar,fight,psychopath,thief,psychopathic killer,slaughter,gore,trap,debt,slasher,torture,extreme violence,violence,home invasion,masked man,killer,held captive,trapped in a house|$114,000,000.00|English|1h 28m|$3,400,000.00|http://thecollector-movie.com/
Star Wars: Episode I - The Phantom Menace|64.0|George Lucas|George Lucas|Liam Neeson,Ewan McGregor,Natalie Portman,Jake Lloyd,Ian McDiarmid|1999|100|Adventure,Action,Science Fiction|prophecy,senate,queen,taskmaster,galaxy,apprentice,taxes,space opera|$924,317,558.00|English|2h 16m|$115,000,000.00|http://www.starwars.com/films/star-wars-episode-i-the-phantom-menace
The Dictator|59.0|Larry Charles|David Mandel,Alec Berg,Jeff Schaffer,Sacha Baron Cohen|Sacha Baron Cohen,Anna Faris,Ben Kingsley,Jason Mantzoukas,John C. Reilly|2012|100|Comedy|dictator,kurdish|$179,379,533.00|English|1h 23m|$65,000,000.00|http://www.dictatorthemovie.com/
Batteries Not Included|63.0|Matthew Robbins|Matthew Robbins,S. S. Wilson,Brent Maddock,Brad Bird|Hume Cronyn,Jessica Tandy,Frank McRae,Elizabeth Peña,Michael Carmine|1987|100|Comedy,Family,Fantasy,Science Fiction|extraterrestrial technology,alien life-form,alien phenomenons,spaceship,new york city,apartment building,elderly couple,property development|$65,088,797.00|English|1h 46m|-|-
Alice in Wonderland|70.0|Clyde Geronimi,Wilfred Jackson,Hamilton Luske||Kathryn Beaumont,Verna Felton,Ed Wynn,Richard Haydn,Sterling Holloway|1951|100|Animation,Family,Fantasy|cat,dream,queen,heart,animation,nothing,tea party|$572,000,000.00|English|1h 15m|$3,000,000.00|-
Girl with a Pearl Earring|65.0|Peter Webber|Olivia Hetreed|Scarlett Johansson,Colin Firth,Tom Wilkinson,Cillian Murphy,Judy Parfitt|2003|100|Drama,Romance|painter,biography,painting,maid|$31,466,789.00|English|1h 41m|-|-
Sneakers|68.0|Phil Alden Robinson|Phil Alden Robinson,Lawrence Lasker,Walter F. Parkes|Robert Redford,Sidney Poitier,Dan Aykroyd,David Strathairn,River Phoenix|1992|100|Comedy,Crime,Drama|hacker,mathematician,assignment,company,computer hacker|$105,232,691.00|English|2h 6m|-|-
Cabbage Soup|63.0|Jean Girault||Louis de Funès,Jean Carmet,Jacques Villeret,Claude Gensac,Christine Dejoux|1981|100|Comedy,Science Fiction|space marine,approach,suppe,alien|-|French|1h 38m|-|-
Paris, Texas|77.0|Wim Wenders||Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Hunter Carson,Aurore Clément|1984|100|Drama|sibling relationship,regret,texas,peep show,van,mute,redemption,los angeles,desert,family,new german cinema|$2,181,987.00|English|2h 25m|$1,746,964.00|-
Hidden Figures|79.0|Theodore Melfi|Theodore Melfi,Allison Schroeder|Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner,Kirsten Dunst|2016|100|Drama,History|nasa,sexism,biography,mathematics,racial segregation,racism,scientist,space race,black woman,u.s. space program,discrimination,1960s|$230,698,791.00|English|2h 7m|$25,000,000.00|http://www.hiddenfigures.com
Stop! Or My Mom Will Shoot|47.0|Roger Spottiswoode|William Osborne,William Davies,Blake Snyder|Sylvester Stallone,Estelle Getty,JoBeth Williams,Roger Rees,Martin Ferrero|1992|100|Action,Comedy|submachine gun,police,los angeles,criminal|$70,611,210.00|English|1h 27m|-|-
The Forgotten|55.0|Joseph Ruben|Gerald Di Pego|Julianne Moore,Anthony Edwards,Jessica Hecht,Christopher Kovaleski,Dominic West|2004|100|Crime,Drama,Horror,Mystery,Science Fiction,Thriller|loss of loved one,motel,airplane,delusion,grief,memory,sexual tension,airplane crash,medication,psychiatrist,erased memory,shot|$117,575,636.00|English|1h 31m|$42,000,000.00|-
Chungking Express|79.0|Wong Kar-wai|Wong Kar-wai|Brigitte Lin,Tony Leung Chiu-Wai,Faye Wong,Takeshi Kaneshiro,Valerie Chow|1994|100|Drama,Comedy,Romance|ex-girlfriend,drug smuggle,girlfriend,snack bar,romance,hong kong,pineapple,expiration date,flight attendant|-|Cantonese|1h 42m|-|-
Lionheart|59.0|Sheldon Lettich|Sheldon Lettich,Jean-Claude Van Damme|Jean-Claude Van Damme,Harrison Page,Deborah Rennard,Ashley Johnson,Brian Thompson|1990|100|Action,Thriller|upper class,drug dealer,foreign legion,fistfight,foreign legionaire,revenge|$24,078,196.00|English|1h 45m|$6,000,000.00|-
Fading Gigolo|58.0|John Turturro|John Turturro|John Turturro,Woody Allen,Vanessa Paradis,Liev Schreiber,Sharon Stone|2013|100|Comedy|gigolo,friendship,sexual fantasy,jewish,new york city,money problems,fling|$2,681,345.00|English|1h 30m|-|-
A Cinderella Story: If the Shoe Fits|64.0|Michelle Johnston||Sofia Carson,Thomas Law,Jennifer Tilly,Amy Loiuse Wilson,Jazzara Jaslyn|2016|93|Comedy,Family,Fantasy,Music|dancer,cinderella,dance,fairy tale,musical,celebrity,orphan,teenager,modern fairy tale|-|English|1h 32m|-|-
Breakfast at Tiffany's|76.0|Blake Edwards|George Axelrod|Audrey Hepburn,George Peppard,Patricia Neal,Buddy Ebsen,Martin Balsam|1961|100|Comedy,Drama,Romance|new york,loss of loved one,age difference,cat,broken engagement,fire escape,love of one's life,jewelry,store window,neighbor,millionaire,celebration|$9,500,000.00|English|1h 50m|$2,500,000.00|-
Radio Rebel|60.0|Peter Howitt||Debby Ryan,Sarena Parmar,Adam DiMarco,Atticus Mitchell,Siobhan Williams|2012|100|Comedy,Drama,Family,TV Movie|shyness,jealousy,parent child relationship,secret identity,radio,step daughter,music,high school,family secret,step father,rivalry,prom,best friend,principal,teenager,girl,popularity,music band,first love,theater,prom queen,boyband,disney channel,dj,rebel hero,spartacus,extreme rules,radio dj,drama class|-|English|1h 30m|-|http://tv.disney.go.com/disneychannel/originalmovies/radiorebel/
Five|72.0|Igor Gotesman||Pierre Niney,François Civil,Igor Gotesman,Margot Bancilhon,Idrissa Hanrot|2016|93|Comedy|video game|-|French|1h 42m|-|-
O Brother, Where Art Thou?|73.0|Joel Coen|Joel Coen,Ethan Coen|George Clooney,John Turturro,Tim Blake Nelson,John Goodman,Holly Hunter|2000|100|Action,Adventure,Comedy|prophecy,southern usa,music record,country music,mississippi,seduction,musical,fraud|$71,868,327.00|English|1h 46m|$26,000,000.00|-
Star Trek: Generations|64.0|David Carson|Brannon Braga,Ronald D. Moore|Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton,Michael Dorn|1994|100|Science Fiction,Action,Adventure,Thriller|based on tv series,death,exploding planet,mountain cabin,solar system,cosmos|$120,000,000.00|English|1h 58m|$38,000,000.00|-
Human Capital|75.0|Paolo Virzì||Fabrizio Bentivoglio,Valeria Bruni-Tedeschi,Fabrizio Gifuni,Valeria Golino,Luigi Lo Cascio|2014|100|Drama||$5,809,330.00|Italian|1h 51m|$6,000,000.00|-
Vehicle 19|50.0|Mukunda Michael Dewil||Paul Walker,Naima McLean,Gys de Villiers,Leyla Haidarian,Tshepo Maseko|2013|100|Thriller|mistaken identity,dirty cop,car chase|-|English|1h 25m|-|-
Hart's War|60.0|Gregory Hoblit||Bruce Willis,Colin Farrell,Terrence Howard,Marcel Iureș,Cole Hauser|2002|100|Drama,War|black people,world war ii,prisoners of war,u.s. army,war,escape,tribunal,trial,soldier,military tribunal,xenophobia|$32,287,044.00|English|2h 5m|$70,000,000.00|-
Bringing Down the House|54.0|Adam Shankman|Jason Filardi|Steve Martin,Queen Latifah,Eugene Levy,Joan Plowright,Jean Smart|2003|100|Comedy|prison,ex-boyfriend,support,escape,lawyer|$132,675,402.00|English|1h 45m|$20,000,000.00|-
The Net|58.0|Irwin Winkler|Michael Ferris,John D. Brancato|Sandra Bullock,Jeremy Northam,Dennis Miller,Wendy Gazelle,Ken Howard|1995|100|Crime,Drama,Mystery,Thriller,Action|cheating,new identity,computer virus,chase,computer,stalking|$110,627,965.00|English|1h 54m|$22,000,000.00|-
Not Another Teen Movie|54.0|Joel Gallen|Mike Bender,Andrew Jacobson,Adam Jay Epstein,Phil Beauman,Buddy Johnson|Chyler Leigh,Chris Evans,Jaime Pressly,Eric Christian Olsen,Mia Kirshner|2001|100|Comedy|underdog,ball,kiss,high school,school party,parody,crush,teenage crush,prom queen,aftercreditsstinger,duringcreditsstinger|$66,468,332.00|English|1h 29m|$16,000,000.00|-
Double Impact|54.0|Sheldon Lettich|Sheldon Lettich,Jean-Claude Van Damme|Jean-Claude Van Damme,Geoffrey Lewis,Alonna Shaw,Cory Everson,Philip Chan Yan-Kin|1991|100|Thriller,Action,Crime,Drama|loss of loved one,karate,fighter,revenge,hong kong,twins,hoodlum|$30,102,717.00|English|1h 50m|$15,000,000.00|-
The Possession|58.0|Ole Bornedal||Jeffrey Dean Morgan,Natasha Calis,Madison Davenport,Kyra Sedgwick,Rob LaBelle|2012|100|Horror,Thriller||$85,446,075.00|English|1h 32m|$14,000,000.00|http://www.thepossessionmovie.com/
Sleeping Beauty|53.0|Julia Leigh||Emily Browning,Rachael Blake,Ewen Leslie,Mirrah Foulkes,Ivy Mak|2011|100|Drama,Romance|prostitute,eroticism,limousine,sadomasochism,student,prostitution,woman director|-|English|1h 42m|$10,000,000.00|http://sleepingbeautyfilm.com/
The People Under the Stairs|64.0|Wes Craven||Brandon Quintin Adams,Everett McGill,Ving Rhames,A. J. Langer,Sean Whalen|1991|100|Comedy,Drama,Horror,Mystery,Thriller|shotgun,escape,serial killer,incest,mental illness,break in,guard dog,disfigurement,neighborhood,poor kid,cannibalism,tarot reading,in the walls|-|English|1h 42m|$6,000,000.00|-
Bride Wars|59.0|Gary Winick|Casey Wilson,June Diane Raphael,Greg DePaul|Anne Hathaway,Kate Hudson,Bryan Greenberg,Chris Pratt,Steve Howey|2009|100|Comedy|bride,friendship,engagement,rivalry,wedding,family feud|$114,663,461.00|English|1h 29m|$30,000,000.00|http://www.bridewars.com
Taxi 2|60.0|Gérard Krawczyk|Luc Besson|Samy Naceri,Frédéric Diefenthal,Marion Cotillard,Emma Wiklund,Bernard Farcy|2000|100|Action,Comedy,Crime|paris,police operation,special unit,japanese mafia|$60,726,164.00|French|1h 22m|-|-
Defiance|67.0|Edward Zwick||Daniel Craig,Liev Schreiber,Jamie Bell,Alexa Davalos,Allan Corduner|2008|100|Action,Drama,History,War|sibling relationship,fight,world war ii,brother,survivor,forest,jewish,camp,partisan|$51,155,219.00|English|2h 17m|$32,000,000.00|-
Spy Kids: All the Time in the World|45.0|Robert Rodriguez||Jessica Alba,Mason Cook,Rowan Blanchard,Joel McHale,Jeremy Piven|2011|100|Family,Comedy,Action|spy,child hero,secret agent,espionage|$85,564,310.00|English|1h 29m|$27,000,000.00|http://spykidsmovie.net/
Valiant|52.0|Gary Chapman||Ewan McGregor,Ricky Gervais,Tim Curry,Jim Broadbent,Hugh Laurie|2005|100|Animation,Family,Adventure|animation,animal,3d|$19,478,106.00|English|1h 16m|$35,000,000.00|-
The Reef|54.0|Andrew Traucki||Adrienne Pickering,Zoe Naylor,Gyton Grantley,Damian Walshe-Howling,Kieran Darcy-Smith|2010|100|Drama,Horror,Thriller|boat,boat accident,underwater,shark,great white shark|-|English|1h 34m|-|http://reefmovie.com/
